pinx,sale_id,sale_price,sale_date,use_type,area,lot_sf,wfnt,bldg_grade,tot_sf,beds,baths,age,eff_age,longitude,latitude
..0097000015,2011..11680,588000,2011-06-20,sfr,14,3300,0,8,2180,3,1.0,90,90,-122.288912009503,47.6147476283802
..0097000100,2016..3140,967000,2016-02-11,sfr,14,4000,0,9,2250,4,1.75,109,109,-122.289580363022,47.6146823366247
..0097000120,2011..17675,472000,2011-09-19,sfr,14,4000,0,7,1590,4,1.0,104,104,-122.289586733491,47.614462477222
..0097000140,2011..21289,621000,2011-11-09,sfr,14,6000,0,8,2280,4,2.5,31,31,-122.289593736751,47.6142150881978
..0097000170,2011..3861,715000,2011-03-14,sfr,14,4500,0,9,2100,3,2.25,103,1,-122.28999025964,47.6145259243119
..0097000190,2010..13483,793000,2010-07-06,sfr,14,4500,0,9,2130,3,2.75,103,103,-122.289983145162,47.6147739207535
..0097000220,2010..9943,645000,2010-05-24,sfr,14,3000,0,8,1470,3,2.5,108,8,-122.290631700265,47.6147548439521
..0097000255,2015..43226,850000,2015-12-21,sfr,14,4500,0,7,1770,3,1.5,91,91,-122.29064466231,47.6143218626819
..0097000275,2015..18659,995000,2015-06-18,sfr,14,4000,0,8,3080,5,2.5,90,90,-122.290951117452,47.6142481944604
..0097000340,2013..30415,658000,2013-09-13,sfr,14,3180,0,8,1960,4,2.0,86,86,-122.291032987222,47.6149258482056
..0161000120,2014..36648,650000,2014-11-18,sfr,14,4497,0,7,2850,4,2.0,104,104,-122.291839046696,47.587640158988
..0188000080,2011..13092,555000,2011-07-21,sfr,13,5590,0,8,2110,3,2.75,57,57,-122.321949955193,47.6343774190252
..0188000090,2012..1732,435000,2012-01-30,townhouse,13,3117,0,9,1540,3,2.25,28,28,-122.321980847885,47.6341719863143
..0188000095,2014..35930,565000,2014-11-13,townhouse,13,3117,0,9,1540,3,2.25,30,30,-122.32198096769,47.6341133416962
..0216000010,2012..12112,1063000,2012-05-29,sfr,13,12329,0,9,4450,5,3.0,59,59,-122.298521559008,47.6328198533039
..0216000010,2013..36837,1300000,2013-11-04,sfr,13,12329,0,9,4450,5,3.0,60,60,-122.298521559008,47.6328198533039
..0216000035,2016..9539,1035000,2016-04-07,sfr,13,6615,0,8,2630,3,2.0,69,69,-122.298890286623,47.6324485224167
..0260000015,2011..22746,630000,2011-12-01,sfr,13,6270,0,8,2120,3,2.5,64,64,-122.300072932696,47.6419357927866
..0260000035,2013..25902,775000,2013-08-02,sfr,13,5913,0,8,2180,3,2.5,65,65,-122.299170378873,47.641931996649
..0260000050,2016..10346,1465000,2016-04-18,sfr,13,8238,0,8,4610,5,3.75,68,68,-122.299487135575,47.6422137250493
..0342000036,2014..19625,540000,2014-07-02,sfr,14,1800,0,7,1320,3,2.25,20,20,-122.288975031592,47.6080799548602
..0342000085,2012..14550,810000,2012-06-22,sfr,14,6000,0,8,2360,3,2.25,91,91,-122.28911373828,47.6071174260754
..0342000113,2015..28928,998000,2015-08-18,sfr,14,3000,0,9,2190,4,2.5,0,0,-122.289750191081,47.6078209668781
..0342000115,2015..29074,1012500,2015-08-18,sfr,14,3000,0,9,2190,4,2.5,0,0,-122.28975161378,47.6077388907121
..0342000120,2015..25410,1175000,2015-07-17,sfr,14,3750,0,9,3020,4,3.25,0,0,-122.289753209261,47.6076465867985
..0342000126,2016..43709,1465000,2016-12-20,sfr,14,4001,0,10,3730,4,2.5,0,0,-122.289758811319,47.6073219580979
..0342000130,2016..38787,1345000,2016-10-28,sfr,14,4256,0,10,2930,5,2.75,0,0,-122.289762867204,47.6070995995132
..0342000170,2016..6726,1195000,2016-03-15,sfr,14,3000,0,9,2910,4,3.25,1,1,-122.289764433454,47.6070002177927
..0342000175,2016..8729,1280000,2016-04-06,sfr,14,3000,0,9,2880,4,3.25,0,0,-122.289765858495,47.6069181438008
..0342000250,2013..11548,626800,2013-04-30,sfr,14,3000,0,8,2390,3,2.5,105,105,-122.289737520966,47.6084787879826
..0342000250,2016..17781,751000,2016-06-09,sfr,14,3000,0,8,2390,3,2.5,108,108,-122.289737520966,47.6084787879826
..0342000325,2016..7756,899000,2016-03-22,sfr,14,4000,0,7,2090,3,2.5,33,33,-122.290143705025,47.6084419882782
..0342000335,2013..3189,587000,2013-02-08,sfr,14,5500,0,7,1670,3,1.75,113,113,-122.290141105977,47.6085713198617
..0342000415,2015..36351,726000,2015-10-14,sfr,14,4000,0,8,1550,4,1.0,110,110,-122.291195433098,47.6085493721097
..0342000500,2013..14591,1075000,2013-05-23,sfr,14,6000,0,10,4310,5,3.5,104,104,-122.29081878424,47.606967501848
..0342000565,2016..13782,668500,2016-05-10,sfr,14,2400,0,7,1260,2,1.75,94,94,-122.291087328491,47.607792235206
..0342000570,2011..4885,295000,2011-03-31,sfr,14,3600,0,7,1080,2,1.0,89,89,-122.291289615305,47.6077938164352
..0342000570,2014..27574,429000,2014-09-09,sfr,14,3600,0,7,1080,2,1.0,92,92,-122.291289615305,47.6077938164352
..0342000570,2016..18557,607000,2016-06-08,sfr,14,3600,0,7,1080,2,1.0,94,94,-122.291289615305,47.6077938164352
..0345000005,2016..33159,1050000,2016-09-15,sfr,14,6000,0,8,2040,4,1.5,115,115,-122.288661641357,47.6077678860185
..0345000015,2016..12064,1875000,2016-04-25,sfr,14,6500,0,10,4160,4,3.0,89,89,-122.288655279701,47.6081039644183
..0345000030,2013..29612,680000,2013-09-10,sfr,14,5500,0,7,1240,2,1.5,87,87,-122.288652089049,47.6082684405035
..0345000045,2015..34025,942000,2015-09-30,sfr,14,4500,0,8,2010,3,1.5,94,94,-122.28864942979,47.6084055032532
..0345000055,2013..27529,599950,2013-08-21,sfr,14,4500,0,7,1780,2,1.5,86,86,-122.288647038383,47.6085288599104
..0345000075,2016..2553,1250000,2016-02-11,sfr,14,5000,0,8,2490,3,2.5,90,90,-122.288642397232,47.6087681099436
..0345000085,2013..14186,820000,2013-05-22,sfr,14,6000,0,8,1780,3,1.75,113,113,-122.288639473571,47.6089188766424
..0345000325,2010..7816,1248000,2010-04-30,sfr,14,4240,0,9,2960,4,2.25,83,83,-122.286890707314,47.6080508502116
..0345000355,2013..13082,1350000,2013-05-10,sfr,14,6360,0,9,3120,4,2.75,88,88,-122.286881621345,47.608489250427
..0345000365,2010..14267,1203000,2010-07-12,sfr,14,5300,0,9,3170,5,2.5,85,85,-122.286878497605,47.6086399409055
..0345000375,2010..4620,1170000,2010-03-01,sfr,14,5300,0,9,2630,3,2.25,85,85,-122.286875655948,47.6087769471232
..0345000485,2010..15338,622000,2010-08-02,sfr,14,3790,0,7,1780,3,1.5,83,83,-122.28643953467,47.6081879505252
..0345000485,2012..17939,517000,2012-07-20,sfr,14,3790,0,7,1780,3,1.5,85,85,-122.28643953467,47.6081879505252
..0345000525,2014..10807,1625000,2014-04-28,sfr,14,4500,0,11,3750,4,3.25,13,13,-122.286415546664,47.6093683839954
..0357000005,2014..39939,500000,2014-12-22,sfr,15,3813,0,7,1680,4,2.0,114,114,-122.293093524032,47.5929944403245
..0357000020,2013..37219,480000,2013-11-19,sfr,15,3760,0,8,1540,2,1.5,101,101,-122.293099824924,47.5926640675936
..0357000025,2014..32746,570000,2014-10-20,sfr,15,3760,0,8,1790,2,1.0,102,102,-122.293102038804,47.5925540491733
..0357000100,2013..26560,630000,2013-08-19,sfr,14,4000,0,7,2040,3,1.5,103,103,-122.291894838038,47.5925388674747
..0357000135,2015..4090,1900000,2015-02-18,sfr,14,7830,0,11,3070,4,2.5,6,6,-122.291129640926,47.5929551106503
..0357000157,2015..20928,650000,2015-06-24,sfr,14,5724,0,8,1010,2,1.0,85,85,-122.291009406581,47.5925847241156
..0357000157,2016..25297,690503,2016-07-22,sfr,14,5724,0,8,1010,2,1.0,86,86,-122.291009406581,47.5925847241156
..0363000035,2012..6969,525000,2012-04-10,sfr,15,3000,0,9,3810,5,3.5,106,0,-122.299641843118,47.6031100848321
..0363000035,2013..17518,619000,2013-06-11,sfr,15,3000,0,9,3810,5,3.5,107,1,-122.299641843118,47.6031100848321
..0363000035,2015..25035,700000,2015-07-27,sfr,15,3000,0,9,3810,5,3.5,109,3,-122.299641843118,47.6031100848321
..0363000045,2015..380,520000,2015-01-02,sfr,15,3000,0,7,940,3,1.0,112,112,-122.29964381372,47.6032745770828
..0366000010,2016..24724,1150000,2016-07-21,sfr,15,2970,0,8,3710,6,3.5,111,10,-122.294623042075,47.6036514803446
..0366000060,2013..4875,480000,2013-02-26,sfr,15,3150,0,7,1390,3,2.0,107,107,-122.294621618631,47.6039615022948
..0366000095,2014..31293,890000,2014-10-09,sfr,15,4652,0,8,2590,5,1.0,107,107,-122.29403969767,47.6038043237748
..0424049009,2016..13760,915000,2016-05-10,sfr,14,2756,0,8,1900,3,2.0,94,94,-122.292224630815,47.5944728637282
..0424049010,2016..4680,1190000,2016-02-29,sfr,14,8360,0,9,2720,4,2.5,36,36,-122.292318923082,47.5947410452861
..0424049027,2010..887,665000,2010-01-27,sfr,14,4020,0,8,3240,5,1.75,74,74,-122.29184632035,47.5946779051441
..0424049030,2010..1648,855500,2010-02-05,sfr,15,3225,0,10,3390,5,4.0,5,5,-122.293052817117,47.5943580141241
..0424049030,2010..1649,741000,2010-02-05,sfr,15,3225,0,10,3390,5,4.0,5,5,-122.293052817117,47.5943580141241
..0424049031,2015..37914,350000,2015-10-30,sfr,15,4275,0,6,1070,3,1.0,111,111,-122.293060205337,47.5940839067376
..0424049033,2016..21478,638000,2016-07-05,townhouse,15,1379,0,9,1620,2,1.75,0,0,-122.300997296401,47.5927838183053
..0424049039,2012..16021,500000,2012-07-06,sfr,14,2808,0,7,1640,3,2.0,88,88,-122.291130775616,47.5944550394528
..0424049039,2014..19706,570000,2014-07-07,sfr,14,2808,0,7,1640,3,2.0,90,90,-122.291130775616,47.5944550394528
..0424049042,2016..16899,695000,2016-06-01,townhouse,15,1402,0,9,1770,3,1.75,1,1,-122.300738489161,47.5926764811179
..0424049043,2016..37249,519950,2016-10-26,townhouse,15,849,0,8,1390,2,2.0,0,0,-122.301008946579,47.5922279335216
..0424049046,2010..8278,292000,2010-05-05,sfr,15,2825,0,8,880,2,1.5,1,1,-122.300355746015,47.5927623724557
..0424049047,2016..17618,699000,2016-05-31,townhouse,15,1603,0,9,1770,3,1.75,0,0,-122.300954301411,47.5926755523688
..0424049049,2016..31957,570000,2016-09-13,sfr,15,3750,0,8,1940,3,1.75,67,67,-122.293056251209,47.5942305534477
..0424049058,2011..18637,349950,2011-09-30,townhouse,15,1190,0,7,1360,3,2.5,0,0,-122.298698878442,47.5923807328482
..0424049058,2013..32944,408000,2013-10-03,townhouse,15,1190,0,7,1360,3,2.5,2,2,-122.298698878442,47.5923807328482
..0424049059,2014..24968,373000,2014-08-15,townhouse,15,2445,0,7,1400,3,2.0,12,12,-122.298769707958,47.5926276782441
..0424049064,2012..4656,283000,2012-03-15,sfr,15,4999,0,7,1540,3,1.5,17,17,-122.299379557877,47.5923534000235
..0424049065,2012..19437,365000,2012-08-02,townhouse,15,2521,0,7,1490,3,2.0,12,12,-122.298769880212,47.5924598852094
..0424049068,2016..4070,460000,2016-02-25,sfr,15,5000,0,7,1340,2,2.0,88,88,-122.299380143504,47.5924904644564
..0424049073,2015..38977,455000,2015-11-05,sfr,15,5426,0,7,1580,3,1.5,19,19,-122.299840893475,47.5926842283581
..0424049075,2013..38086,430000,2013-11-22,sfr,15,2084,0,8,1790,3,2.5,10,10,-122.300990168803,47.5924952023944
..0424049100,2016..16859,658188,2016-06-01,townhouse,15,1707,0,9,1680,3,1.75,0,0,-122.300878049231,47.5927867309896
..0424049101,2016..33577,649700,2016-09-19,townhouse,15,1092,0,9,1580,3,1.75,0,0,-122.300770110065,47.5927869298071
..0424049102,2016..23259,665000,2016-07-13,townhouse,15,1166,0,9,1620,3,1.75,0,0,-122.300683051659,47.5927870895646
..0424049273,2010..22947,388500,2010-12-09,sfr,15,1967,0,8,1570,3,2.5,7,7,-122.300957711316,47.5925860150287
..0424049278,2010..21390,200000,2010-11-15,sfr,15,1774,0,8,790,1,1.5,1,1,-122.300186050647,47.5928031135636
..0424049278,2012..10351,233000,2012-05-14,sfr,15,1774,0,8,790,1,1.5,3,3,-122.300186050647,47.5928031135636
..0424049279,2010..21489,210000,2010-11-17,sfr,15,1462,0,8,750,2,1.5,1,1,-122.300182627126,47.5926998734355
..0424049279,2012..17425,260000,2012-07-13,sfr,15,1462,0,8,750,2,1.5,3,3,-122.300182627126,47.5926998734355
..0424049280,2010..23420,212950,2010-12-16,sfr,15,1084,0,8,810,2,1.5,1,1,-122.300185597958,47.5926191267559
..0424049281,2010..11272,288500,2010-06-09,sfr,15,1170,0,8,750,2,1.5,1,1,-122.300188955448,47.5925477874883
..0424049281,2012..25050,270000,2012-09-25,sfr,15,1170,0,8,750,2,1.5,3,3,-122.300188955448,47.5925477874883
..0424049281,2015..23143,368550,2015-07-13,sfr,15,1170,0,8,750,2,1.5,6,6,-122.300188955448,47.5925477874883
..0424049282,2010..8528,299950,2010-05-07,sfr,15,2467,0,8,880,2,1.5,1,1,-122.300445113882,47.5925496848118
..0424049283,2010..21483,219950,2010-11-17,sfr,15,1034,0,8,830,2,1.5,1,1,-122.300352484076,47.5926303431045
..0424049283,2015..11520,345000,2015-04-15,sfr,15,1034,0,8,830,2,1.5,6,6,-122.300352484076,47.5926303431045
..0424049284,2011..19303,238000,2011-10-04,townhouse,15,912,0,7,1120,1,1.5,0,0,-122.298860941138,47.5923857178362
..0424049284,2014..32256,310000,2014-10-16,townhouse,15,912,0,7,1120,1,1.5,3,3,-122.298860941138,47.5923857178362
..0424049285,2016..27536,519623,2016-08-11,townhouse,15,2215,0,8,1300,2,2.0,0,0,-122.300991303547,47.5923969542724
..0424049286,2016..28767,503696,2016-08-12,townhouse,15,795,0,8,1280,2,2.0,0,0,-122.300999976352,47.5923308025046
..0424049287,2016..32449,471762,2016-09-13,townhouse,15,813,0,8,1400,2,2.0,0,0,-122.301002966968,47.5922965132742
..0424049288,2016..31948,482923,2016-09-02,townhouse,15,831,0,8,1400,2,2.0,0,0,-122.301005957867,47.5922622234813
..0424049289,2016..28405,540386,2016-08-09,townhouse,15,1001,0,8,1480,2,2.0,0,0,-122.301012152186,47.592190996749
..0519000010,2011..14884,515000,2011-08-15,sfr,15,3720,0,7,2860,3,2.0,81,81,-122.30177685465,47.6102896885655
..0519000010,2016..38238,885000,2016-10-26,sfr,15,3720,0,7,2860,3,2.0,86,86,-122.30177685465,47.6102896885655
..0519000015,2015..15883,836000,2015-05-28,sfr,15,3914,0,8,2400,3,1.0,112,0,-122.302058617971,47.6102286037809
..0519000043,2014..20283,602000,2014-07-14,sfr,15,3804,0,8,1640,3,2.5,16,16,-122.300461841928,47.6102841138665
..0519000070,2016..12958,922000,2016-05-10,sfr,15,5120,0,8,1440,4,1.0,88,88,-122.301056695237,47.6103979991468
..0519000100,2013..9025,475000,2013-04-10,sfr,15,4560,0,8,1430,2,1.0,96,96,-122.300529420917,47.6097336389627
..0519000185,2012..11891,360000,2012-05-24,sfr,15,2700,0,7,1440,4,2.0,103,103,-122.30101937786,47.6098058460662
..0519000190,2013..2819,535000,2013-02-01,sfr,15,2400,0,8,1530,3,2.0,104,104,-122.301202513704,47.6097376622227
..0519000235,2013..6140,570000,2013-02-27,sfr,15,5573,0,8,2628,4,2.0,106,106,-122.301877994442,47.6095195063668
..0519000245,2015..41574,840000,2015-12-01,sfr,15,5585,0,8,1630,3,1.5,108,12,-122.301881207327,47.6093001243912
..0567000020,2015..11271,800000,2015-04-28,sfr,15,5000,0,8,1570,2,1.0,91,91,-122.293619286686,47.5954276951625
..0567000025,2015..38550,815000,2015-11-02,sfr,15,3000,0,8,2330,3,2.25,100,21,-122.293622430472,47.595317899212
..0567000095,2015..35403,579000,2015-10-15,sfr,15,3000,0,8,1180,3,1.75,105,105,-122.293918075972,47.5956099132668
..0567000100,2012..11651,200000,2012-05-30,sfr,15,3000,0,8,1720,4,1.75,40,0,-122.294120597626,47.5956124368901
..0567000130,2016..9205,735000,2016-04-11,sfr,15,4020,0,8,1960,3,1.75,116,116,-122.293599140603,47.5938012804051
..0567000150,2013..14979,420000,2013-05-20,sfr,15,2760,0,7,1410,2,1.0,87,87,-122.293861871553,47.5934608950253
..0567000215,2015..37010,865000,2015-10-02,sfr,15,5110,0,8,2835,5,3.0,91,91,-122.293711586224,47.5931338130953
..0567000217,2013..13795,725000,2013-05-15,sfr,15,3000,0,8,2720,3,2.5,6,6,-122.293686833031,47.5930147001345
..0567000220,2015..18799,1295990,2015-06-18,sfr,15,4495,0,9,2830,3,2.5,0,0,-122.293689563606,47.5929118775584
..0567000225,2015..12896,1225000,2015-05-08,sfr,15,4495,0,9,2830,3,2.5,0,0,-122.29369309042,47.592788423758
..0567000235,2013..15422,440000,2013-05-29,sfr,15,6000,0,7,3330,5,3.0,15,15,-122.293697204653,47.5926443535527
..0567000262,2015..28496,405000,2015-08-21,townhouse,15,1418,0,8,1190,2,2.5,12,12,-122.294014660326,47.592397878538
..0567000266,2016..13347,578500,2016-05-11,townhouse,15,1733,0,8,1570,3,2.5,13,13,-122.294009401593,47.5925708486092
..0567000268,2014..25866,450000,2014-08-21,townhouse,15,2710,0,8,1639,3,2.5,11,11,-122.294220687218,47.5923180422155
..0567000290,2016..37841,499950,2016-10-28,townhouse,15,1454,0,7,1200,2,1.5,25,25,-122.294163765299,47.5930106324798
..0567000292,2011..16593,255000,2011-09-06,townhouse,15,1471,0,7,1200,2,1.5,20,20,-122.294161816153,47.5930724453203
..0567000325,2012..22620,504500,2012-09-06,sfr,15,4000,0,7,1920,3,1.75,104,104,-122.294742124627,47.5930147414192
..0567000325,2016..8841,716300,2016-04-04,sfr,15,4000,0,7,1920,3,1.75,108,108,-122.294742124627,47.5930147414192
..0567000330,2011..23040,337000,2011-12-05,townhouse,15,1448,0,7,1450,3,2.0,0,0,-122.294643607502,47.5927520839116
..0567000331,2011..19618,349000,2011-10-18,townhouse,15,1399,0,7,1450,3,2.0,0,0,-122.294646075168,47.5926697932903
..0567000332,2011..19621,369000,2011-10-24,townhouse,15,1580,0,7,1450,3,2.0,0,0,-122.294849583485,47.5926731377815
..0567000333,2011..20846,380000,2011-11-04,townhouse,15,1578,0,7,1450,3,2.0,0,0,-122.294847035126,47.5927554167527
..0567000380,2015..4585,365000,2015-03-02,townhouse,15,1270,0,7,820,2,1.5,6,6,-122.295273816726,47.5925452419579
..0567000381,2015..7747,378000,2015-03-28,townhouse,15,853,0,7,980,2,1.5,6,6,-122.295275870537,47.5924826500253
..0567000382,2014..34840,370000,2014-11-10,townhouse,15,1133,0,7,780,2,1.0,5,5,-122.295277788442,47.5924241603651
..0567000384,2011..5143,255000,2011-03-24,townhouse,15,856,0,7,840,2,1.5,2,2,-122.295072542822,47.5924676219698
..0567000385,2014..17585,362500,2014-06-23,townhouse,15,1768,0,7,940,2,1.5,5,5,-122.295070404867,47.5925348075645
..0567000390,2010..3830,272500,2010-03-08,townhouse,15,1023,0,8,900,2,1.5,1,1,-122.295295519786,47.5926232491994
..0567000390,2016..11319,435000,2016-04-21,townhouse,15,1023,0,8,900,2,1.5,7,7,-122.295295519786,47.5926232491994
..0567000392,2013..19379,335800,2013-06-24,townhouse,15,1201,0,8,920,2,2.0,4,4,-122.295039577977,47.5926207985064
..0567000392,2014..34289,363000,2014-11-03,townhouse,15,1201,0,8,920,2,2.0,5,5,-122.295039577977,47.5926207985064
..0567000392,2016..40568,450000,2016-11-17,townhouse,15,1201,0,8,920,2,2.0,7,7,-122.295039577977,47.5926207985064
..0567000395,2015..4829,470000,2015-03-05,sfr,15,3000,0,7,1650,3,2.25,16,16,-122.295159249075,47.5927046564997
..0567000401,2015..10519,546000,2015-04-21,townhouse,15,1397,0,8,2100,4,2.5,7,7,-122.295265200887,47.592788336046
..0567000402,2010..22610,315000,2010-12-03,townhouse,15,1161,0,8,1490,3,2.5,2,2,-122.295058802711,47.5928793940932
..0567000402,2012..24749,340000,2012-09-25,townhouse,15,1161,0,8,1490,3,2.5,4,4,-122.295058802711,47.5928793940932
..0567000402,2015..28608,475000,2015-08-20,townhouse,15,1161,0,8,1490,3,2.5,7,7,-122.295058802711,47.5928793940932
..0567000403,2010..22396,319950,2010-11-17,townhouse,15,892,0,8,1490,3,2.5,2,2,-122.295060477362,47.5928268307248
..0567000404,2010..21063,319950,2010-11-03,townhouse,15,1159,0,8,1490,3,2.5,2,2,-122.295062145958,47.5927742760687
..0567000405,2010..21020,345000,2010-11-04,townhouse,15,1395,0,8,2100,4,2.5,2,2,-122.295262513205,47.5928705909697
..0567000405,2016..18826,610000,2016-05-25,townhouse,15,1395,0,8,2100,4,2.5,8,8,-122.295262513205,47.5928705909697
..0567000408,2014..15007,400000,2014-06-02,townhouse,15,936,0,8,1495,3,2.5,8,8,-122.29505807853,47.5929913039679
..0567000414,2015..16581,481000,2015-05-27,townhouse,15,1327,0,8,1860,4,2.5,9,9,-122.295262780399,47.5929521831067
..0567000419,2013..8809,380500,2013-04-11,townhouse,15,1372,0,8,1860,4,2.5,7,7,-122.295257516325,47.5931181448542
..0567000430,2012..34622,265000,2012-12-12,sfr,15,4000,0,6,1400,3,1.0,90,90,-122.294708423772,47.5941660468861
..0567000440,2014..2886,518500,2014-02-11,sfr,15,8500,0,7,1060,2,1.5,114,114,-122.294716371252,47.5938851163619
..0567000495,2016..4020,506000,2016-02-23,townhouse,15,861,0,8,980,2,1.25,8,8,-122.295025598513,47.5939782137802
..0567000497,2015..19669,507500,2015-06-22,townhouse,15,1187,0,8,1340,3,2.25,7,7,-122.295024165876,47.5940303237837
..0567000500,2012..28913,419950,2012-10-10,townhouse,15,1425,0,8,1630,3,2.25,0,0,-122.295219800717,47.5941864771889
..0567000501,2012..26125,419950,2012-10-10,townhouse,15,1425,0,8,1680,3,2.0,0,0,-122.295222082158,47.5941042285192
..0567000502,2012..23944,419000,2012-09-20,townhouse,15,1542,0,8,1640,3,3.25,0,0,-122.295019650302,47.5941006575599
..0567000502,2016..40566,670000,2016-11-14,townhouse,15,1542,0,8,1640,3,3.25,4,4,-122.295019650302,47.5941006575599
..0567000503,2012..27003,419950,2012-10-18,townhouse,15,1612,0,8,1650,3,3.25,0,0,-122.295016989837,47.5941828906712
..0567000508,2013..10007,420000,2013-04-19,townhouse,15,1599,0,8,1710,4,2.75,6,6,-122.295209915019,47.5943482408536
..0567000576,2010..10294,387000,2010-05-25,townhouse,15,1498,0,8,1460,2,2.25,4,4,-122.295195503263,47.5948443308511
..0567000580,2011..12498,400000,2011-07-11,sfr,15,6000,0,8,1380,3,3.25,99,99,-122.295090706879,47.5949663547654
..0567000595,2016..7268,435000,2016-03-21,sfr,15,3000,0,8,1570,3,2.0,36,36,-122.295075242563,47.595500889963
..0567000595,2016..20203,615000,2016-06-21,sfr,15,3000,0,8,1570,3,2.0,36,36,-122.295075242563,47.595500889963
..0567000672,2014..30077,342000,2014-09-30,townhouse,15,1251,0,7,1260,3,3.0,11,11,-122.295858400686,47.5943083135846
..0567000680,2012..9565,290000,2012-04-26,townhouse,15,1071,0,7,1320,3,3.0,9,9,-122.29565456904,47.5941819954293
..0567000680,2014..22924,359000,2014-08-01,townhouse,15,1071,0,7,1320,3,3.0,11,11,-122.29565456904,47.5941819954293
..0567000685,2015..33781,629950,2015-09-25,townhouse,15,1521,0,9,1560,3,2.5,0,0,-122.29566459322,47.5941102711878
..0567000687,2015..31408,629950,2015-09-09,townhouse,15,1514,0,9,1780,3,2.5,0,0,-122.29566704443,47.5940285371952
..0567000689,2015..39321,619950,2015-11-11,townhouse,15,1676,0,9,1780,3,2.5,0,0,-122.29566778017,47.5939418641792
..0567000691,2015..40150,629950,2015-11-20,townhouse,15,1495,0,9,1780,3,2.5,0,0,-122.295872062812,47.5940311631748
..0567000693,2015..41707,639000,2015-12-07,townhouse,15,1506,0,9,1780,3,2.5,0,0,-122.295870221451,47.5941129668041
